source,target,weight
81822,117542,1
81822,81917,1
81822,81679,1
81822,83501,1
81822,83502,1
81822,311163,1
81822,315707,1
81822,24334,1
81822,24832,1
81822,25176,1
81822,25459,1
81822,65262,1
81822,171374,1
81822,24409,1
81822,24551,1
81822,25751,1
81822,29264,1
81822,50688,1
81822,60416,1
81822,64520,1
81822,64845,1
81822,64862,1
81822,65152,1
81822,81522,1
81822,81918,1
81822,171574,1
81822,191573,1
81822,289623,1
81822,307169,1
81822,310218,1
81822,102554136,1
81822,24948,1
81822,29304,1
81822,29477,1
81822,29564,1
81822,64638,1
81822,84496,1
81822,117042,1
81822,287408,1
81822,361598,1
81822,363875,1
81822,58918,1
81822,78963,1
81822,83533,1
81822,315732,1
81822,29167,1
81822,84428,1
81822,290798,1
81822,294010,1
81822,299121,1
81822,308961,1
81822,362504,1
81822,246212,1
81822,298975,1
81822,362107,1
81822,29614,1
81822,29685,1
81822,64390,1
81822,79251,1
81822,81002,1
81822,81922,1
81822,83583,1
81822,84480,1
81822,85255,1
81822,85383,1
81822,114590,1
81822,140946,1
81822,171047,1
81822,192252,1
81822,266670,1
81822,266772,1
81822,286897,1
81822,287433,1
81822,288652,1
81822,288912,1
81822,289827,1
81822,290741,1
81822,291877,1
81822,292206,1
81822,293507,1
81822,294883,1
81822,300235,1
81822,300317,1
81822,300656,1
81822,300850,1
81822,302642,1
81822,305947,1
81822,308061,1
81822,309526,1
81822,310344,1
81822,313038,1
81822,315689,1
81822,317259,1
81822,317630,1
81822,362050,1
81822,362383,1
81822,362740,1
81822,362895,1
81822,363448,1
81822,501097,1
81822,501157,1
81822,679221,1
81822,680006,1
81822,681913,1
81822,688502,1
81822,297893,1
81822,310614,1
81822,361724,1
81822,680172,1
81822,25643,1
81822,170915,1
81822,353306,1
81822,24907,1
81822,25614,1
81822,114489,1
81822,362242,1
81822,29288,1
81822,65136,1
81822,79256,1
81822,83498,1
81822,84472,1
81822,116697,1
81822,140654,1
81822,170909,1
81822,298075,1
81822,298510,1
81822,304833,1
81822,310612,1
81822,319110,1
81822,362361,1
81822,500538,1
81822,100912427,1
81822,103689992,1
81822,29219,1
81822,83511,1
81822,50687,1
81822,292139,1
81822,362186,1
81822,24779,1
81822,25566,1
81822,29324,1
81822,298584,1
81822,305614,1
81822,306570,1
81822,313052,1
81822,314251,1
81822,361069,1
81822,362202,1
81822,364837,1
81822,493810,1
81822,652956,1
81822,24191,1
81822,24248,1
81822,24265,1
81822,24838,1
81822,25124,1
81822,25596,1
81822,29220,1
81822,29630,1
81822,29677,1
81822,56781,1
81822,60335,1
81822,64701,1
81822,65138,1
81822,84478,1
81822,113894,1
81822,116643,1
81822,140639,1
81822,266759,1
81822,287670,1
81822,291796,1
81822,293719,1
81822,296369,1
81822,297593,1
81822,298012,1
81822,299052,1
81822,302328,1
81822,311078,1
81822,313658,1
81822,315771,1
81822,316740,1
81822,360471,1
81822,361585,1
81822,362969,1
81822,364694,1
81822,366189,1
81822,498174,1
81822,498433,1
81822,500450,1
81822,501621,1
81822,680102,1
81822,689852,1
81822,24571,1
81822,25407,1
81822,25518,1
81822,29662,1
81822,54319,1
81822,64156,1
81822,64524,1
81822,81667,1
81822,81823,1
81822,84395,1
81822,192255,1
81822,287805,1
81822,298340,1
81822,298436,1
81822,303887,1
81822,304688,1
81822,304983,1
81822,309147,1
81822,315451,1
81822,361674,1
81822,685867,1
81822,100912032,1
81822,24588,1
81822,24668,1
81822,24669,1
81822,25132,1
81822,25594,1
81822,84685,1
81822,84686,1
81822,117284,1
81822,286993,1
81822,24211,1
81822,24586,1
81822,24818,1
81822,25650,1
81822,29211,1
81822,29629,1
81822,50592,1
81822,58814,1
81822,63864,1
81822,81677,1
81822,117557,1
81822,171093,1
81822,192117,1
81822,317335,1
81822,364073,1
81822,81748,1
81822,289369,1
81822,315926,1
81822,360417,1
81822,100362255,1
81822,50545,1
81822,83712,1
81822,282546,1
81822,288563,1
81822,292404,1
81822,296732,1
81822,297867,1
81822,298098,1
81822,299186,1
81822,303617,1
81822,306254,1
81822,307766,1
81822,308067,1
81822,314126,1
81822,315058,1
81822,317575,1
81822,361374,1
81822,363002,1
81822,366980,1
81822,368002,1
81822,25277,1
81822,25673,1
81822,25683,1
81822,29569,1
81822,58813,1
81822,59106,1
81822,64681,1
81822,65261,1
81822,81523,1
81822,83841,1
81822,84352,1
81822,116487,1
81822,117036,1
81822,245955,1
81822,298845,1
81822,298941,1
81822,309499,1
81822,309816,1
81822,313641,1
81822,445442,1
81822,497794,1
81822,688400,1
81822,134485935,1
81822,24919,1
81822,85423,1
81822,291691,1
81822,291737,1
81822,293494,1
81822,296084,1
81822,298447,1
81822,299810,1
81822,300222,1
81822,304569,1
81822,310661,1
81822,312154,1
81822,314718,1
81822,315523,1
81822,316440,1
81822,317413,1
81822,361107,1
81822,361652,1
81822,362132,1
81822,362258,1
81822,362594,1
81822,500225,1
81822,100360077,1
81822,100362678,1
81822,24479,1
81822,170843,1
81822,303067,1
81822,303580,1
81822,310626,1
81822,311021,1
81822,311802,1
81822,364410,1
81822,103690132,1
81822,64550,1
81822,252855,1
81822,298066,1
81822,305123,1
81822,363854,1
81822,311024,1
81822,314906,1
81822,64312,1
81822,116590,1
81822,24242,1
81822,24244,1
81822,24377,1
81822,24547,1
81822,24943,1
81822,25438,1
81822,25444,1
81822,25576,1
81822,25577,1
81822,25617,1
81822,25750,1
81822,29409,1
81822,29511,1
81822,50663,1
81822,58820,1
81822,94271,1
81822,171375,1
81822,288054,1
81822,294800,1
81822,294962,1
81822,295923,1
81822,296648,1
81822,302975,1
81822,360819,1
81822,361532,1
81822,362018,1
81822,688869,1
81822,100360302,1
81822,24440,1
81822,25265,1
81822,29276,1
81822,29302,1
81822,64803,1
81822,170921,1
81822,282837,1
81822,295500,1
81822,296313,1
81822,309186,1
81822,361969,1
81822,364206,1
81822,684555,1
81822,685269,1
81822,691992,1
81822,29423,1
81822,24615,1
81822,24648,1
81822,24825,1
81822,25030,1
81822,25211,1
81822,25274,1
81822,25294,1
81822,25308,1
81822,29692,1
81822,64372,1
81822,64673,1
81822,65039,1
81822,65182,1
81822,78959,1
81822,83781,1
