geneID,symbol
116692,Cyth2
116693,Cyth3
116694,Capn9
116695,Kcnd1
116696,St8sia4
116697,Pabpn1
116698,Trim28
116699,Inpp4b
116700,Cga
116711,Ceacam9
116717,Trip10
116718,Pex12
116719,Acacb
116720,Pik3c2g
116721,Abcc5
116722,Psmd10
116723,Pip4k2a
116724,Epb41l3
116725,Ube2n
116726,Slc7a9
116727,Gp1bb
116728,Septin5
116741,Pcdha4
116742,Pcdha13
116743,Sh3gl2
116744,Lpar1
116745,Kcnh6
116777,Cdh3
116778,Pcdha10
116779,Pcdha12
116780,Pcdha3
116781,Pcdha8
116782,Pcdhgc3
116808,Pcdh12
116831,Fxyd3
116839,Rims2
116967,Magt1
116996,Il16
117016,Mark1
117017,Polr2g
117018,Kcnh2
117019,Eif2b4
117020,Mcf2l
117021,Nup155
117022,Il1r2
117023,Kcns1
117024,Crym
117026,Apbb3
117027,Ccr3
117028,Bin1
117029,Ccr5
117030,Erp29
117033,Mmp12
117034,Ptf1a
117035,Slc25a20
117036,Lamc1
117037,Spam1
117038,Mt3
117039,Gps1
117041,Nln
117042,Rpl6
117043,Rragb
117044,Rraga
117045,Eif4e
117048,Cdh17
117049,Rab28
117050,Arl5a
117051,Arfrp1
117052,Kcnj12
117053,Rps15a
117054,Cd52
117055,Gjb4
117056,H3f3b
117057,Myo1b
117058,Pou2f2
117059,Calb2
117060,Ubr5
117061,Mmp10
117062,Hmga1
117063,Ptpn2
117064,Vip
117087,Stim2
117089,Bex3
117092,Serpinb7
117095,Bhlhe41
117096,Nlgn2
117097,Gpr50
117098,Pdha2
117099,Bdh1
117100,Slc6a7
117101,Kcnc3
117103,Rab8a
117104,Ppp2r2a
117105,Kcnb2
117106,Scarb2
117107,Zbtb7a
117108,B3gat1
117140,Hivep1
117152,Cand1
117180,Csde1
117182,Hsd17b3
117183,Rgcc
117184,Ctrl
117185,Neu3
117186,Sh3bp5
117232,Barhl1
117240,Heph
117241,Pop5
117242,Tenm2
117243,Acsl6
117249,Dnah3
117250,Dnah6
117251,Dnah9
117252,Dnah10
117253,Dnah11
117254,Prdx1
117255,Ptpn12
117256,Ppp2r2c
117258,Cntn1
117259,Tra2b
117260,Nudt1
117261,Slc15a1
117262,Psmc4
117263,Psmc1
117264,P2ry6
117265,Pex6
117268,Khdrbs1
117269,Rps6ka2
117270,Tff1
117271,Hrk
117272,Prpsap2
117273,Rhoa
117274,Nr0b2
117275,Chrd
117276,Pfkfb3
117277,Epn1
117278,Ebp
117279,Cflar
117280,Hnrnpu
117281,Ppp2r1a
117282,Hnrnpk
117284,Lrrc7
117287,Park7
117505,Csrp3
117512,C9
117513,Sec22a
117514,Txnip
117515,Septin2
117516,Tnfsf11
117517,C7
117518,Ccl17
117519,Keap1
117520,Oxr1
117522,Xpnpep2
117523,St8sia2
117524,Ccnf
117526,Tbp
117533,Gmpr
117535,Chd4
117536,Nsmf
117537,Klhl41
117538,Wipf1
117539,Il10ra
117540,Plscr1
117541,Smu1
117542,Baiap2
117543,Decr1
117544,Ppat
117547,Ncr1
117548,Kif1b
117549,Gpr37
117550,Kif5b
117551,Ccl22
117552,Ptpn23
117553,Uba3
117554,Pnliprp2
117556,Sv2b
117557,Tpm3
117558,Mylk2
117559,Sv2a
