geneID,symbol,degree
102551149,LOC102551149,1
102551184,H4cl2,42
102551208,Dynlt4,3
102551227,LOC102551227,68
102551408,Hacd2,3
102551716,Nkain2,6
102551724,LOC102551724,68
102551846,Zfp174,10
102551865,Sgk1-ps1,12
102551890,Dcaf16,20
102551899,LOC102551899,4
102551929,Mageb10,10
102552497,Pcdhgb6,29
102552551,Erln,7
102552664,Miat,24
102552705,Pcdhgb4,29
102552796,Pcdhga6,71
102552838,Mc1r,21
102552895,Podn,98
102552939,Dynapl1,1
102553002,Zscan22,9
102553035,Klk15,16
102553119,Mettl21a,31
102553148,Cfap58,73
102553382,Ddx11l1,68
102553842,Hoxd11,14
102553861,LOC102553861,3
102553877,LOC102553877,105
102554136,Zfp780b,30
102554393,Adamts13,7
102554482,Insl5,1
102554647,Pasd1,1
102554670,LOC102554670,68
102554696,LOC102554696,68
102554851,Sertm2,7
102554884,Rcor1,25
102555079,Poln,5
102555331,Jpx,5
102555822,LOC102555822,105
102556031,Coa6,1
102556092,Zfp664,9
102556119,Znf354b,11
102556347,Cbr1l2,62
102556681,Sh2d1b2,5
102556967,Zfp719,9
102557111,Pura,30
103689940,LOC103689940,3
103689947,Selenbp1,31
103689969,Kdm6a,25
103689978,Senp5,4
103689992,Rps9,130
103690025,Rfwd3,3
103690045,Mast4,3
103690123,Hoxa2,3
103690130,Hoxa3,28
103690132,Hoxa1,81
103690163,Zfp420,67
103690190,Hist1h2al1,18
103690221,Nyap2,2
103690254,Try5,1
103690326,Dcstamp,20
103690343,Zfp600,2
103690827,Yy2,30
103690996,Rpl35a-ps8,1
103691034,Peg3,9
103691134,Flt3lg,39
103691373,Frat1,5
103691677,Amd1-ps1,1
103691737,Cripak,1
103691906,Lnc134,7
103691922,Mrpl42l1,8
103692131,Hoxa11,22
103692150,Tshr-ps1,2
103692282,Cd244,1
103692528,Scnn1d,2
103692906,Eif3e-ps1,17
103693047,Rup2l2,11
103693239,Arl4c,8
103693257,Ercc4l1,1
103693341,Tnfrsf13b,83
103693367,Myh13,14
103693419,Cox11,7
103693430,Atp5mk-ps2,18
103693666,Zbed6,51
103693683,Fcgr2a-ps1,3
103693803,Lnc004,7
103693925,Apela,6
103694039,Lnc012,7
103694097,Pgbd1,80
103694328,Atxn1l,3
103694537,LOC103694537,8
103694540,Zfy1,9
103694544,Rbmy1j,8
103694550,Sry3b2,6
103694552,Sry2,6
103694554,Sry3A,6
103694557,Ube1y1,8
103694559,Usp9y,8
104795668,Mir1247,24
104795669,Mir148a,153
104795670,Mir149,24
104795671,Mir15a,29
104795672,Mir1896,22
104795673,Mir3064,22
104795674,Mir3084a,22
104795675,Mir3084c,22
104795676,Snora19,22
104795677,Mir450b-1,22
104795678,Mir5132,23
104796140,Mir190a-2,3
104796141,Mir29c-2,87
104796142,Mir322-2,89
104796143,Mir350-2,89
104796144,Mir351-2,89
104796148,Mir503-2,35
104796149,Mir6317-2,35
104796150,Mir6319-2,35
104796153,Mir542-2,35
104796155,Mir676,134
104796156,Mir486,195
104796262,Mir1843b,22
104796288,Mir3084a-4,22
104796289,Mir1a-1,76
104796557,Mirlet7g,180
104796558,Mir452,23
104796626,Mir196b-2,3
104797222,Mir1297,22
104797223,Mir193b,136
